record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1463817601.0,R,27.111.228.159,191.86.128.0/19,27.111.228.159,"{'24482:64602', '2914:420', '2914:3400', '24482:1', '24482:11013', '24482:21101', '24482:21100', '2914:1405', '24482:11010', '2914:2406', '24482:11011'}",24482 2914 6762 26615
rib,1463817601.0,R,27.111.228.6,191.86.128.0/19,27.111.228.6,{'6453:2000'},18106 6453 6762 26615
rib,1463817601.0,R,27.111.228.201,191.86.128.0/19,27.111.228.201,"{'4637:32037', '4637:32504', '4637:60952', '4637:32414'}",133165 4637 6762 26615
rib,1463817601.0,R,27.111.228.169,191.86.128.0/19,27.111.228.169,set(),38880 3491 6762 26615
rib,1463817648.0,R,206.126.236.19,191.86.128.0/19,206.126.236.19,"{'3257:51102', '3257:51100', '3257:8093', '3257:30027', '3257:50002'}",3257 6762 26615
rib,1463817648.0,R,206.126.236.24,191.86.128.0/19,206.126.236.24,"{'3257:8159', '3257:30402', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 6762 26615
rib,1463817648.0,R,206.126.236.117,191.86.128.0/19,206.126.236.117,"{'6830:17000', '6762:1', '6762:92', '6830:17413', '6762:15500', '6830:33121'}",6830 6762 26615
rib,1463817648.0,R,206.126.236.10,191.86.128.0/19,206.126.236.10,"{'2914:420', '4589:2', '2914:2000', '4589:546', '4589:10110', '4589:420', '2914:1001', '2914:3000'}",4589 2914 6762 26615
rib,1463817648.0,R,206.126.236.104,191.86.128.0/19,206.126.236.104,"{'6830:17000', '6762:1', '6762:92', '6830:17413', '6762:15500', '6830:33121'}",6830 6762 26615
rib,1463817648.0,R,206.126.236.172,191.86.128.0/19,206.126.236.172,{'6461:5997'},11039 6461 6762 26615
rib,1463817648.0,R,206.126.236.25,191.86.128.0/19,206.126.236.25,set(),6079 3356 6762 26615
rib,1463817648.0,R,206.126.236.76,191.86.128.0/19,206.126.236.76,set(),5769 6453 6762 26615
rib,1463817648.0,R,206.126.236.12,191.86.128.0/19,206.126.236.12,"{'2914:2000', '2914:420', '2914:1001', '2914:3000'}",2914 6762 26615
rib,1463817648.0,R,206.126.236.26,191.86.128.0/19,206.126.236.26,set(),16559 6939 26615
rib,1463817648.0,R,206.126.236.47,191.86.128.0/19,206.126.236.47,"{'174:22013', '174:21000', '19151:65050', '19151:61003', '19151:1000'}",19151 174 6762 26615
rib,1463817648.0,R,206.126.236.37,191.86.128.0/19,206.126.236.37,set(),6939 26615
rib,1463817648.0,R,206.126.236.120,191.86.128.0/19,206.126.236.120,set(),41095 3356 6762 26615
update,1463817980.0,A,206.126.236.172,191.86.128.0/19,206.126.236.172,{'6461:5997'},11039 6461 6762 26615
update,1463817988.0,A,206.126.236.24,191.86.128.0/19,206.126.236.24,"{'3257:8159', '3257:30402', '11666:1000', '3257:51301', '11666:1005', '3257:50002', '3257:51300'}",11666 3257 6762 26615
update,1463817990.0,A,206.126.236.117,191.86.128.0/19,206.126.236.117,"{'6830:17000', '6762:1', '6762:92', '6830:17413', '6762:15500', '6830:33121'}",6830 6762 26615
update,1463817993.0,A,206.126.236.10,191.86.128.0/19,206.126.236.10,"{'2914:420', '4589:2', '2914:2000', '4589:546', '4589:10110', '4589:420', '2914:1001', '2914:3000'}",4589 2914 6762 26615
update,1463817994.0,A,206.126.236.104,191.86.128.0/19,206.126.236.104,"{'6830:17000', '6762:1', '6762:92', '6830:17413', '6762:15500', '6830:33121'}",6830 6762 26615
update,1463817995.0,A,206.126.236.19,191.86.128.0/19,206.126.236.19,"{'3257:51102', '3257:51100', '3257:8093', '3257:30027', '3257:50002'}",3257 6762 26615
